account_id,district_id,frequency,Date,Account_type
1573,63,MONTHLY ISSUANCE,2020-12-29,Savings account
3276,1,MONTHLY ISSUANCE,2020-12-29,Salary account
124,55,MONTHLY ISSUANCE,2020-12-28,Salary account
3958,59,MONTHLY ISSUANCE,2020-12-28,NRI account
777,30,MONTHLY ISSUANCE,2020-12-28,Savings account
3025,25,MONTHLY ISSUANCE,2020-12-27,Salary account
906,59,MONTHLY ISSUANCE,2020-12-27,NRI account
845,14,MONTHLY ISSUANCE,2020-12-27,Savings account
3048,74,WEEKLY ISSUANCE,2020-12-26,Salary account
1983,54,MONTHLY ISSUANCE,2020-12-25,NRI account
727,35,MONTHLY ISSUANCE,2020-12-25,NRI account
4332,74,MONTHLY ISSUANCE,2020-12-23,NRI account
564,5,MONTHLY ISSUANCE,2020-12-23,NRI account
3934,6,MONTHLY ISSUANCE,2020-12-23,NRI account
1318,56,MONTHLY ISSUANCE,2020-12-22,Salary account
889,43,MONTHLY ISSUANCE,2020-12-22,NRI account
3385,1,MONTHLY ISSUANCE,2020-12-21,Salary account
703,54,MONTHLY ISSUANCE,2020-12-21,Savings account
1177,27,MONTHLY ISSUANCE,2020-12-20,Salary account
246,65,MONTHLY ISSUANCE,2020-12-20,Salary account
1171,18,MONTHLY ISSUANCE,2020-12-20,NRI account
3187,59,MONTHLY ISSUANCE,2020-12-20,Salary account
2791,25,MONTHLY ISSUANCE,2020-12-19,Savings account
3169,19,MONTHLY ISSUANCE,2020-12-19,Savings account
2049,67,MONTHLY ISSUANCE,2020-12-19,Savings account
758,51,MONTHLY ISSUANCE,2020-12-19,Salary account
2440,19,MONTHLY ISSUANCE,2020-12-18,NRI account
1186,64,MONTHLY ISSUANCE,2020-12-17,NRI account
3911,32,MONTHLY ISSUANCE,2020-12-16,Salary account
3992,43,MONTHLY ISSUANCE,2020-12-16,Savings account
579,1,MONTHLY ISSUANCE,2020-12-16,NRI account
2892,64,MONTHLY ISSUANCE,2020-12-16,Savings account
3616,50,MONTHLY ISSUANCE,2020-12-15,NRI account
938,70,MONTHLY ISSUANCE,2020-12-13,Savings account
3501,36,MONTHLY ISSUANCE,2020-12-13,Salary account
2820,36,MONTHLY ISSUANCE,2020-12-11,NRI account
3033,69,MONTHLY ISSUANCE,2020-12-10,NRI account
3174,65,MONTHLY ISSUANCE,2020-12-10,Savings account
134,34,MONTHLY ISSUANCE,2020-12-10,Salary account
1229,46,MONTHLY ISSUANCE,2020-12-10,Salary account
3209,45,MONTHLY ISSUANCE,2020-12-10,Salary account
1072,65,MONTHLY ISSUANCE,2020-12-09,NRI account
1156,59,MONTHLY ISSUANCE,2020-12-09,Salary account
3836,68,MONTHLY ISSUANCE,2020-12-09,Salary account
3013,73,MONTHLY ISSUANCE,2020-12-09,NRI account
673,31,MONTHLY ISSUANCE,2020-12-08,Savings account
3406,53,MONTHLY ISSUANCE,2020-12-08,Salary account
2796,5,WEEKLY ISSUANCE,2020-12-08,Salary account
2775,30,MONTHLY ISSUANCE,2020-12-08,Savings account
276,38,MONTHLY ISSUANCE,2020-12-08,Savings account
315,45,MONTHLY ISSUANCE,2020-12-08,NRI account
3722,76,MONTHLY ISSUANCE,2020-12-07,Salary account
736,75,MONTHLY ISSUANCE,2020-12-07,Salary account
2787,1,MONTHLY ISSUANCE,2020-12-07,NRI account
21,54,MONTHLY ISSUANCE,2020-12-06,Salary account
1650,39,MONTHLY ISSUANCE,2020-12-06,Savings account
800,11,MONTHLY ISSUANCE,2020-12-06,Savings account
3415,75,MONTHLY ISSUANCE,2020-12-06,NRI account
2918,15,ISSUANCE AFTER TRANSACTION,2020-12-05,NRI account
4140,28,MONTHLY ISSUANCE,2020-12-05,NRI account
1960,31,MONTHLY ISSUANCE,2020-12-04,NRI account
1049,18,MONTHLY ISSUANCE,2020-12-04,NRI account
298,35,MONTHLY ISSUANCE,2020-12-02,Savings account
1717,67,MONTHLY ISSUANCE,2020-12-02,NRI account
10005,64,MONTHLY ISSUANCE,2020-11-29,Salary account
4386,51,WEEKLY ISSUANCE,2020-11-29,Salary account
1868,16,WEEKLY ISSUANCE,2020-11-29,Savings account
232,45,MONTHLY ISSUANCE,2020-11-29,Savings account
1798,46,MONTHLY ISSUANCE,2020-11-28,Savings account
421,75,MONTHLY ISSUANCE,2020-11-27,NRI account
3715,74,MONTHLY ISSUANCE,2020-11-27,Savings account
934,9,MONTHLY ISSUANCE,2020-11-27,Savings account
3333,44,MONTHLY ISSUANCE,2020-11-27,Salary account
215,31,MONTHLY ISSUANCE,2020-11-25,Salary account
1523,52,ISSUANCE AFTER TRANSACTION,2020-11-24,NRI account
3102,33,MONTHLY ISSUANCE,2020-11-23,Savings account
295,66,MONTHLY ISSUANCE,2020-11-23,NRI account
2979,10,MONTHLY ISSUANCE,2020-11-22,Savings account
2850,57,MONTHLY ISSUANCE,2020-11-22,Savings account
2832,12,MONTHLY ISSUANCE,2020-11-22,Salary account
3105,37,MONTHLY ISSUANCE,2020-11-21,Savings account
